doi,unique_id
10.1039/c6ce02108e,WOS:000395439000004
10.1016/j.ijhydene.2017.09.080,WOS:000415768200011
10.1016/j.apcatb.2020.118632,WOS:000517665200038
10.1016/j.ijhydene.2019.01.018,WOS:000461410200020
10.1002/adma.201604318,WOS:000392728200006
10.1016/j.jclepro.2019.02.004,WOS:000462110400058
10.1080/10584587.2021.1911357,WOS:000698611500011
10.1039/b815338h,WOS:000264374700008
10.1016/j.ijhydene.2008.07.039,WOS:000260755600002
10.1039/c9cc03668g,WOS:000474265200021
10.1116/6.0002827,WOS:001057212500001
10.1039/d3ya00340j,WOS:001098943700001
10.1021/acs.nanolett.1c02623,WOS:000709549100034
10.1002/smll.202103632,WOS:000709889700001
10.1039/c6dt03158g,WOS:000388369000013
10.1016/j.electacta.2020.136521,WOS:000552975200008
10.3390/molecules29071684,WOS:001201569100001
10.1016/j.mssp.2019.104818,WOS:000505017100023
10.1021/acs.chemmater.5b03138,WOS:000365465600017
10.1021/acs.langmuir.4c01169,WOS:001261348000001
10.1007/s12274-024-6873-1,WOS:001285092300008
10.1039/d4cy01450b,WOS:001443578800001
10.1016/j.jcis.2019.08.112,WOS:000491301300067
10.1039/c8cp06143b,WOS:000454836700016
10.1021/acs.inorgchem.9b01728,WOS:000484066500050
10.1002/adfm.202303986,WOS:001009482400001
10.1016/j.ijhydene.2018.01.145,WOS:000429399400019
10.1002/adfm.202414935,WOS:001330601400001
10.1016/j.electacta.2018.01.007,WOS:000424637300013
10.1002/adma.202302285,WOS:001018465200001
10.1016/j.jpowsour.2020.228625,WOS:000558890300046
10.1016/j.jpowsour.2019.04.070,WOS:000474327300021
10.1021/acs.jpcc.7b03822,WOS:000407655900013
10.1039/c9nr08102j,WOS:000509545700050
10.1002/advs.202201339,WOS:000786541300001
10.1016/j.jcis.2019.08.052,WOS:000491301300017
10.1016/j.cej.2024.153094,WOS:001258533300001
10.1021/acs.nanolett.0c01842,WOS:000562935200042
10.1039/c8se00346g,WOS:000453816900003
10.1016/0013-4686(94)85157-3,WOS:A1994PC03400036
10.1039/c4ee01329h,WOS:000339861800013
10.1246/cl.230310,WOS:001105905400002
10.1016/j.cattod.2016.09.007,WOS:000399006100019
10.1016/j.scriptamat.2021.113756,WOS:000620811400016
10.1016/j.matlet.2024.136677,WOS:001249250400001
10.1016/j.electacta.2015.03.157,WOS:000354055500033
10.22068/ijmse.3866,WOS:001451034200003
10.1021/acsaem.3c00211,WOS:001024781000001
10.20964/2022.04.63,WOS:000788060200006
10.1016/j.ccr.2024.215976,WOS:001253270400001
10.1016/j.surfin.2025.106161,WOS:001447814900001
10.1002/smll.202205499,WOS:000961840700001
10.1016/j.electacta.2015.04.145,WOS:000362292200007
10.1016/j.jpowsour.2025.236245,WOS:001406557100001
10.1016/j.ijhydene.2004.07.002,WOS:000228676600006
10.1088/2053-1583/acddf7,WOS:001010188600001
10.1002/smll.202402058,WOS:001200672400001
10.1016/j.apcatb.2018.05.010,WOS:000437965900011
10.1021/jacs.3c03493,WOS:000984297800001
10.1016/j.actamat.2023.119063,WOS:001015685100001
10.1021/acsaem.7b00315,WOS:000458705400016
10.1021/acscatal.3c02940,WOS:001141152700001
10.1039/c4ta01898b,WOS:000339004100043
10.1002/adma.202003846,WOS:000600644800001
10.15251/DJNB.2022.173.999,WOS:000861102200003
10.1088/1757-899X/275/1/012003,WOS:000426777500005
10.1016/j.cej.2022.139175,WOS:000864663400003
10.1016/j.electacta.2024.145358,WOS:001362857400001
10.1039/d3nr01442h,WOS:001010303300001
10.1039/d4dt03232b,WOS:001424734500001
10.1016/j.est.2024.112832,WOS:001270679200001
10.1016/j.jechem.2024.02.049,WOS:001219722600001
10.1002/adfm.202205974,WOS:000856974700001
10.1007/s40820-023-01142-1,WOS:001022890600002
10.1016/j.mtener.2023.101259,WOS:000949781900001
10.1021/acs.inorgchem.8b02294,WOS:000447680400064
10.1039/d1ra03657b,WOS:000665644000045
10.1557/s43579-022-00232-2,WOS:000843959300002
10.1007/s40843-020-1424-2,WOS:000565484600001
10.1039/d4qi03098b,WOS:001399285600001
10.1021/acs.jpcc.5b02458,WOS:000355495600022
10.1063/5.0117828,WOS:000882459400010
10.1134/S0036024423090042,WOS:001136864400011
10.1016/j.electacta.2023.142502,WOS:001009484900001
10.1016/j.electacta.2025.145825,WOS:001427291900001
10.1039/d3cp05892a,WOS:001161675400001
10.1016/j.arabjc.2023.104846,WOS:000976652000001
10.1021/acsaem.0c02548,WOS:000621660800030
10.1021/acscatal.6b01848,WOS:000387306100059
10.1039/d1ce00796c,WOS:000678737000001
10.1021/acs.nanolett.2c04729,WOS:000919511400001
10.1002/anie.201610240,WOS:000395566600012
10.1002/er.6998,WOS:000669342300001
10.1007/s11706-018-0433-0,WOS:000444616900005
10.1016/j.cej.2023.145097,WOS:001051184500001
10.1039/c6nr04073j,WOS:000381442500009
10.1021/acsanm.3c05085,WOS:001161345700001
10.1039/c5ra02769a,WOS:000353167500044
10.1021/acs.inorgchem.1c03216,WOS:000790015500006
10.1021/acsami.7b00722,WOS:000395494200061
10.1016/j.jechem.2022.04.043,WOS:000811245300005
10.1007/s40820-019-0269-x,WOS:000468200900001
10.1007/s10904-024-03413-9,WOS:001329808800001
10.1021/acsaem.3c02875,WOS:001163374500001
10.1021/acs.inorgchem.2c04525,WOS:000932734900001
10.1016/j.nanoen.2025.110727,WOS:001423766100001
10.1002/celc.201701210,WOS:000422673500009
10.1016/j.ijhydene.2022.02.037,WOS:000783467000009
10.1016/j.nanoen.2017.07.032,WOS:000411687800011
10.1038/s41598-020-63319-7,WOS:000562162800006
10.1039/c9cc06286f,WOS:000494428800022
10.1016/j.jcis.2022.09.105,WOS:000933882200006
10.1016/j.diamond.2023.110298,WOS:001156954100001
10.1016/j.ijhydene.2020.11.098,WOS:000608630000011
10.1021/acsaem.8b02010,WOS:000462944700033
10.1016/j.cej.2024.156647,WOS:001336163500001
10.1021/acsaem.3c00780,WOS:001038078000001
10.1016/j.jcis.2017.12.020,WOS:000424963700001
10.1039/c7ta06254k,WOS:000412781700020
10.1021/acs.inorgchem.3c00074,WOS:000950537100001
10.1039/c7qm00452d,WOS:000418622500010
10.3390/nano15030210,WOS:001420263500001
10.1002/cssc.202301607,WOS:001173159200001
10.1016/j.jcis.2024.07.019,WOS:001269341300001
10.1002/smll.202404729,WOS:001285940000001
10.1039/d3ta00635b,WOS:000962249000001
10.1016/j.gee.2020.12.008,WOS:000802945400003
10.1016/j.materresbull.2025.113329,WOS:001422496300001
10.1021/acsami.9b17492,WOS:000510532000025
10.1016/j.jechem.2021.03.039,WOS:000756465900018
10.1016/j.electacta.2021.139793,WOS:000784283800011
10.1016/j.ijhydene.2020.08.217,WOS:000583961000045
10.1016/j.ijhydene.2021.03.107,WOS:000653097700003
10.1039/c8ce01868e,WOS:000457296300011
10.1002/smtd.202200519,WOS:000808244700001
10.1007/s10800-025-02282-5,WOS:001429417200001
10.1016/j.jallcom.2024.176940,WOS:001337199200001
10.1021/acsami.0c22620,WOS:000643578300028
10.1016/j.mcat.2024.114458,WOS:001295076500001
10.1039/d3cy00378g,WOS:000990109100001
10.1016/j.jcis.2018.08.038,WOS:000445322600068
10.1016/j.electacta.2016.10.070,WOS:000389090800043
10.1039/d3ta08079j,WOS:001180686200001
10.1021/acs.jpcc.1c07710,WOS:000730558800001
10.1016/j.colsurfa.2022.129041,WOS:000797734300004
10.1039/d2qi01764d,WOS:000865944700001
10.1016/j.ijhydene.2019.11.074,WOS:000509629700010
10.1016/j.apsusc.2024.162162,WOS:001403538100001
10.1002/slct.201902051,WOS:000490895800035
10.1016/j.cej.2025.160375,WOS:001434219700001
10.1039/d2gc01158a,WOS:000818023400001
10.1016/j.jcis.2022.05.051,WOS:000829956000009
10.1021/acs.jpclett.3c01244,WOS:001018231100001
10.3389/fchem.2020.00385,WOS:000539213600001
10.1016/j.gee.2021.04.003,WOS:000935515000001
10.1016/j.jallcom.2022.165143,WOS:000799949400003
10.1016/j.electacta.2020.137642,WOS:000608744400001
10.1021/acs.accounts.3c00059,WOS:001011155400001
10.1002/smll.202304512,WOS:001153692300001
10.1021/acscatal.0c04117,WOS:000631434600020
10.1039/c6ta03644a,WOS:000378716900036
10.1021/jacs.4c08847,WOS:001331399500001
10.1021/acsnano.3c12133,WOS:001139512700001
10.1016/j.jechem.2022.04.045,WOS:000807746700005
10.1016/j.matlet.2022.133448,WOS:000917752200001
10.1002/chem.202303779,WOS:001153379300001
10.1016/j.jcis.2023.05.071,WOS:000999357600001
10.3390/molecules25102304,WOS:000539293400037
10.1002/elan.202060427,WOS:000583875800001
10.1039/d4qi00090k,WOS:001192407700001
10.1002/aenm.202302306,WOS:001046194600001
10.1002/adma.201701584,WOS:000407048800024
10.1021/acsanm.4c02915,WOS:001261368700001
10.1016/j.electacta.2018.12.020,WOS:000455642500084
10.1016/j.electacta.2023.142723,WOS:001028333300001
10.1016/j.electacta.2017.08.010,WOS:000410675100007
10.1016/j.fuel.2022.123279,WOS:000747410000004
10.1002/adfm.202308902,WOS:001073057200001
10.1016/j.jallcom.2019.152099,WOS:000490423000011
10.1002/eem2.12766,WOS:001237398900001
10.1016/j.apsusc.2020.147081,WOS:000564113100013
10.1002/advs.202401207,WOS:001214238900001
10.1016/j.jcis.2023.04.090,WOS:000998001600001
10.1016/j.cattod.2023.114358,WOS:001070872000001
10.1016/j.electacta.2014.05.050,WOS:000342528600052
10.1016/j.apmt.2022.101485,WOS:000913362800002
10.1007/978-3-030-06209-5\_30,WOS:000525860700029
10.1016/j.ijhydene.2020.11.252,WOS:000614610200002
10.1002/anie.201502438,WOS:000363397300018
10.1016/j.cej.2024.152028,WOS:001265940200001
10.1016/j.electacta.2017.04.167,WOS:000403026700045
10.1039/c9qi01367a,WOS:000503509100025
10.1016/j.mcat.2025.115025,WOS:001448328600001
10.1016/j.jallcom.2021.161805,WOS:000706710500006
10.1016/j.apsusc.2022.154728,WOS:000860475400003
10.1039/c8cc00025e,WOS:000428085300008
10.1016/j.molstruc.2023.137018,WOS:001111381300001
10.1007/s11696-023-03155-x,WOS:001097992600002
10.1016/j.ijhydene.2025.02.127,WOS:001426531900001
10.1002/smll.201902613,WOS:000479732000001
10.1007/s12274-021-3568-8,WOS:000662127100005
10.1039/d4ce00945b,WOS:001401270600001
10.1002/eom2.12256,WOS:000820606900001
10.1021/acsami.7b06384,WOS:000409395500028
10.1039/c7ta00993c,WOS:000403664800041
10.31635/ccschem.020.202000497,WOS:000794234500003
10.1016/j.cej.2023.145971,WOS:001078845300001
10.1039/d4tc04158e,WOS:001390037000001
10.1021/jacs.9b02417,WOS:000468366900034
10.1016/j.jcis.2022.02.119,WOS:000792040700009
10.1016/j.mtnano.2023.100390,WOS:001066084900001
10.1039/d2dt02013k,WOS:000842646800001
10.1039/d4qi00085d,WOS:001187087500001
10.1021/acs.langmuir.2c02873,WOS:000912719500001
10.1002/aenm.201802939,WOS:000459624100002
10.1021/acs.cgd.4c00747,WOS:001324202100001
10.1039/d4ta00696h,WOS:001210866100001
10.1016/j.ijhydene.2018.10.091,WOS:000452940900022
10.1007/s40843-018-9393-x,WOS:000467276500006
10.1016/j.ijhydene.2024.05.291,WOS:001244107100001
10.1021/acs.energyfuels.3c01992,WOS:001078933200001
10.1016/j.ijhydene.2019.12.155,WOS:000519652800011
10.1016/j.apcatb.2024.124801,WOS:001370861800001
10.1016/j.ijhydene.2018.11.084,WOS:000456355600040
10.1039/d4nj05248j,WOS:001402243100001
10.1016/j.matlet.2024.136869,WOS:001282625200001
10.1002/anie.202316755,WOS:001251279600001
10.1021/acs.inorgchem.1c00097,WOS:000630142600056
10.1016/j.cej.2020.125467,WOS:000567388100008
10.1002/adfm.202008989,WOS:000598304100001
10.1016/j.jechem.2024.08.022,WOS:001306334700001
10.1115/1.4054647,WOS:000965099100008
10.1039/d2dt00127f,WOS:000768940000001
10.1039/c8ta05677c,WOS:000443272700003
10.1016/j.ijhydene.2024.08.220,WOS:001300354400001
10.1016/j.ijhydene.2024.01.026,WOS:001153272300001
10.1016/j.mtener.2021.100737,WOS:000702849000016
10.1016/S1872-2067(21)64033-0,WOS:000824082500001
10.1016/j.molstruc.2024.140852,WOS:001370661000001
10.1002/cctc.202401664,WOS:001370461900001
10.1039/c7ta06272a,WOS:000410597200059
10.1039/c9dt02943e,WOS:000487514400006
