category,filename,doi_from_filename,doi_from_pdf2doi
Experimental,10.1002_adfm.201600566.pdf,10.1002/adfm.201600566,10.1002/adfm.201600566
Experimental,10.1002_adfm.201603904.pdf,10.1002/adfm.201603904,10.1002/adfm.201603904
Experimental,10.1002_adfm.201606497.pdf,10.1002/adfm.201606497,10.1021/acsnano.7b05050
Experimental,10.1002_adfm.201801136.pdf,10.1002/adfm.201801136,10.1002/adfm.201801136
Experimental,10.1002_adfm.201900315.pdf,10.1002/adfm.201900315,10.1002/adfm.201900315
Experimental,10.1002_adfm.202009070.pdf,10.1002/adfm.202009070,10.1002/adfm.202009070
Experimental,10.1002_adfm.202010437.pdf,10.1002/adfm.202010437,10.1002/adfm.202010437
Experimental,10.1002_adfm.202106835.pdf,10.1002/adfm.202106835,10.1002/adfm.202106835
Experimental,10.1002_adfm.202200733.pdf,10.1002/adfm.202200733,10.1002/adfm.202200733
Experimental,10.1002_adfm.202314172.pdf,10.1002/adfm.202314172,10.1002/adfm.202314172
Experimental,10.1002_adma.201503163.pdf,10.1002/adma.201503163,10.1002/adma.201503163
Experimental,10.1002_adma.201504866.pdf,10.1002/adma.201504866,10.1002/adma.201504866
Experimental,10.1002_adma.201606793.pdf,10.1002/adma.201606793,10.1002/adma.201606793
Experimental,10.1002_adma.201700748.pdf,10.1002/adma.201700748,10.1002/adma.201700748
Experimental,10.1002_adma.201703311.pdf,10.1002/adma.201703311,10.1002/adma.201703311
Experimental,10.1002_adma.201703798.pdf,10.1002/adma.201703798,10.1002/adma.201703798
Experimental,10.1002_adma.201704779.pdf,10.1002/adma.201704779,10.1002/adma.201704779
Experimental,10.1002_adma.201707522..pdf,10.1002/adma.201707522,10.1002/adma.201707522
Experimental,10.1002_adma.201707522.pdf,10.1002/adma.201707522,10.1002/adma.201707522
Experimental,10.1002_adma.201802121.pdf,10.1002/adma.201802121,10.1002/adma.201802121
Experimental,10.1002_adma.201802223.pdf,10.1002/adma.201802223,10.1002/adma.201802223
Experimental,10.1002_adma.201806326.pdf,10.1002/adma.201806326,10.1002/adma.201806326
Experimental,10.1002_adma.201806682.pdf,10.1002/adma.201806682,10.1002/adma.201806682
Experimental,10.1002_adma.201807001.pdf,10.1002/adma.201807001,10.1002/adma.201807001
Experimental,10.1002_adma.201903616.pdf,10.1002/adma.201903616,10.1002/adma.201903616
Experimental,10.1002_adma.201905679.pdf,10.1002/adma.201905679,10.1002/adma.201905679
Experimental,10.1002_adma.201906915.pdf,10.1002/adma.201906915,10.1002/adma.201906915
Experimental,10.1002_adma.201907818.pdf,10.1002/adma.201907818,10.1002/adma.201907818
Experimental,10.1002_adma.202001167.pdf,10.1002/adma.202001167,10.1002/adma.202001167
Experimental,10.1002_adma.202006042.pdf,10.1002/adma.202006042,10.1002/adma.202006042
Experimental,10.1002_adma.202110103.pdf,10.1002/adma.202110103,10.1002/adma.202110103
Experimental,10.1002_adma.202306108.pdf,10.1002/adma.202306108,10.1002/adma.202306108
Experimental,10.1002_admi.201901328.pdf,10.1002/admi.201901328,10.1002/admi.201901328
